Order ID,Order Date,Ship Date,Catomer Name,Country,City,State,Category,Product Name,Sales,Quantity,Profit,,concat for Query,,,,,,,,,,,,,,,,,,,,,,
CA-2011-143336,8/27/2011,9/1/2011,James Sharma,United States,San Francisco,California,Machines,Budget Scanner,8.56,2,2.48,,"('CA-2011-143336', '2011-08-27', '2011-09-01', 'James Sharma', 'United States', 'San Francisco', 'California', 'Machines', 'Budget Scanner', 8.56, 2, 2.48),",,,,,,,,,,,,,,,,,,,,,,Bookcases
CA-2011-143336,8/27/2011,9/1/2011,Pooja Shah,United States,San Francisco,California,Tables,Slim Meeting Table,213.48,3,16.01,,"('CA-2011-143336', '2011-08-27', '2011-09-01', 'Pooja Shah', 'United States', 'San Francisco', 'California', 'Tables', 'Slim Meeting Table', 213.48, 3, 16.01),",,,,,,,,,,,,,,,,,,,,,,Copiers
CA-2011-143336,8/27/2011,9/1/2011,Rahul Deshmukh,United States,San Francisco,California,Bookcases,Executive Metal Bookcase,22.72,4,7.38,,"('CA-2011-143336', '2011-08-27', '2011-09-01', 'Rahul Deshmukh', 'United States', 'San Francisco', 'California', 'Bookcases', 'Executive Metal Bookcase', 22.72, 4, 7.38),",,,,,,,,,,,,,,,,,,,,,,Envelopes
CA-2012-106320,9/25/2012,9/30/2012,Arjun Johnson,United States,Orem,Utah,Copiers,Premium Laser Copier,1044.63,3,240.26,,"('CA-2012-106320', '2012-09-25', '2012-09-30', 'Arjun Johnson', 'United States', 'Orem', 'Utah', 'Copiers', 'Premium Laser Copier', 1044.63, 3, 240.26),",,,,,,,,,,,,,,,,,,,,,,Paper
CA-2013-121755,1/16/2013,1/20/2013,Aisha Patel,United States,Los Angeles,California,Copiers,Modern Compact Copier,11.65,2,4.22,,"('CA-2013-121755', '2013-01-16', '2013-01-20', 'Aisha Patel', 'United States', 'Los Angeles', 'California', 'Copiers', 'Modern Compact Copier', 11.65, 2, 4.22),",,,,,,,,,,,,,,,,,,,,,,Storage
CA-2013-121755,1/16/2013,1/20/2013,Isha Mehta,United States,Los Angeles,California,Envelopes,Eco Window Envelope,90.57,3,11.77,,"('CA-2013-121755', '2013-01-16', '2013-01-20', 'Isha Mehta', 'United States', 'Los Angeles', 'California', 'Envelopes', 'Eco Window Envelope', 90.57, 3, 11.77),",,,,,,,,,,,,,,,,,,,,,,Chairs
CA-2013-101343,7/18/2013,7/23/2013,Meera Mehta,United States,Los Angeles,California,Copiers,Adjustable Compact Copier,77.88,2,3.89,,"('CA-2013-101343', '2013-07-18', '2013-07-23', 'Meera Mehta', 'United States', 'Los Angeles', 'California', 'Copiers', 'Adjustable Compact Copier', 77.88, 2, 3.89),",,,,,,,,,,,,,,,,,,,,,,Art
CA-2012-135545,11/24/2012,11/30/2012,Riya Nair,United States,Los Angeles,California,Paper,Executive Graph Paper,13.98,2,6.15,,"('CA-2012-135545', '2012-11-24', '2012-11-30', 'Riya Nair', 'United States', 'Los Angeles', 'California', 'Paper', 'Executive Graph Paper', 13.98, 2, 6.15),",,,,,,,,,,,,,,,,,,,,,,Fasteners
CA-2012-135545,11/24/2012,11/30/2012,Neha Gupta,United States,Los Angeles,California,Binders,Premium Document Folder,25.82,6,9.36,,"('CA-2012-135545', '2012-11-24', '2012-11-30', 'Neha Gupta', 'United States', 'Los Angeles', 'California', 'Binders', 'Premium Document Folder', 25.82, 6, 9.36),",,,,,,,,,,,,,,,,,,,,,,0
CA-2012-135545,11/24/2012,11/30/2012,Priya Reddy,United States,Los Angeles,California,Machines,Wireless Laminator,146.73,3,68.96,,"('CA-2012-135545', '2012-11-24', '2012-11-30', 'Priya Reddy', 'United States', 'Los Angeles', 'California', 'Machines', 'Wireless Laminator', 146.73, 3, 68.96),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-135545,11/24/2012,11/30/2012,David Sharma,United States,Los Angeles,California,Phones,Classic Phone Case,79.76,4,22.33,,"('CA-2012-135545', '2012-11-24', '2012-11-30', 'David Sharma', 'United States', 'Los Angeles', 'California', 'Phones', 'Classic Phone Case', 79.76, 4, 22.33),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-106376,12/5/2011,12/10/2011,Priya Patel,United States,Gilbert,Arizona,Storage,Slim Shelf Organizer,1113.02,8,111.3,,"('CA-2011-106376', '2011-12-05', '2011-12-10', 'Priya Patel', 'United States', 'Gilbert', 'Arizona', 'Storage', 'Slim Shelf Organizer', 1113.02, 8, 111.30),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-106376,12/5/2011,12/10/2011,Sneha Brown,United States,Gilbert,Arizona,Furnishings,Heavy-Duty Curtain Set,167.97,4,62.99,,"('CA-2011-106376', '2011-12-05', '2011-12-10', 'Sneha Brown', 'United States', 'Gilbert', 'Arizona', 'Furnishings', 'Heavy-Duty Curtain Set', 167.97, 4, 62.99),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-139451,10/12/2011,10/16/2011,Vihaan Sharma,United States,San Francisco,California,Paper,Deluxe Graph Paper,14.9,5,4.17,,"('CA-2011-139451', '2011-10-12', '2011-10-16', 'Vihaan Sharma', 'United States', 'San Francisco', 'California', 'Paper', 'Deluxe Graph Paper', 14.90, 5, 4.17),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-139451,10/12/2011,10/16/2011,Emma Sharma,United States,San Francisco,California,Envelopes,Professional Window Envelope,21.39,1,6.2,,"('CA-2011-139451', '2011-10-12', '2011-10-16', 'Emma Sharma', 'United States', 'San Francisco', 'California', 'Envelopes', 'Professional Window Envelope', 21.39, 1, 6.20),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-109806,9/18/2013,9/23/2013,Daniel Smith,United States,Los Angeles,California,Bookcases,Deluxe 5-Shelf Bookcase,20.1,3,6.63,,"('CA-2013-109806', '2013-09-18', '2013-09-23', 'Daniel Smith', 'United States', 'Los Angeles', 'California', 'Bookcases', 'Deluxe 5-Shelf Bookcase', 20.10, 3, 6.63),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-109806,9/18/2013,9/23/2013,Daniel Patel,United States,Los Angeles,California,Paper,Premium Writing Pad,73.58,2,8.28,,"('CA-2013-109806', '2013-09-18', '2013-09-23', 'Daniel Patel', 'United States', 'Los Angeles', 'California', 'Paper', 'Premium Writing Pad', 73.58, 2, 8.28),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-109806,9/18/2013,9/23/2013,Aisha Kulkarni,United States,Los Angeles,California,Chairs,Professional Stool,6.48,1,3.11,,"('CA-2013-109806', '2013-09-18', '2013-09-23', 'Aisha Kulkarni', 'United States', 'Los Angeles', 'California', 'Chairs', 'Professional Stool', 6.48, 1, 3.11),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-109484,11/7/2014,11/13/2014,Pooja Shah,United States,Portland,Oregon,Chairs,Eco Office Chair,5.68,1,-3.79,,"('CA-2014-109484', '2014-11-07', '2014-11-13', 'Pooja Shah', 'United States', 'Portland', 'Oregon', 'Chairs', 'Eco Office Chair', 5.68, 1, -3.79),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-157833,6/18/2014,6/21/2014,David Deshmukh,United States,San Francisco,California,Copiers,Ergonomic Compact Copier,51.31,3,17.96,,"('CA-2014-157833', '2014-06-18', '2014-06-21', 'David Deshmukh', 'United States', 'San Francisco', 'California', 'Copiers', 'Ergonomic Compact Copier', 51.31, 3, 17.96),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-156867,11/13/2012,11/17/2012,Neha Gupta,United States,Aurora,Colorado,Chairs,Ergonomic Gaming Chair,238.9,6,-26.88,,"('CA-2012-156867', '2012-11-13', '2012-11-17', 'Neha Gupta', 'United States', 'Aurora', 'Colorado', 'Chairs', 'Ergonomic Gaming Chair', 238.90, 6, -26.88),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-156867,11/13/2012,11/17/2012,Meera Das,United States,Aurora,Colorado,Bookcases,Budget 5-Shelf Bookcase,102.36,3,-3.84,,"('CA-2012-156867', '2012-11-13', '2012-11-17', 'Meera Das', 'United States', 'Aurora', 'Colorado', 'Bookcases', 'Budget 5-Shelf Bookcase', 102.36, 3, -3.84),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-156867,11/13/2012,11/17/2012,Vihaan Sharma,United States,Aurora,Colorado,Art,Premium Art Portfolio,36.88,3,-25.82,,"('CA-2012-156867', '2012-11-13', '2012-11-17', 'Vihaan Sharma', 'United States', 'Aurora', 'Colorado', 'Art', 'Premium Art Portfolio', 36.88, 3, -25.82),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-110457,3/2/2012,3/6/2012,Aisha Patel,United States,Seattle,Washington,Machines,Steel Laminator,787.53,3,165.38,,"('CA-2012-110457', '2012-03-02', '2012-03-06', 'Aisha Patel', 'United States', 'Seattle', 'Washington', 'Machines', 'Steel Laminator', 787.53, 3, 165.38),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-107272,11/6/2014,11/13/2014,Emma Deshmukh,United States,Phoenix,Arizona,Tables,Ergonomic Study Table,2.39,2,-1.83,,"('CA-2014-107272', '2014-11-06', '2014-11-13', 'Emma Deshmukh', 'United States', 'Phoenix', 'Arizona', 'Tables', 'Ergonomic Study Table', 2.39, 2, -1.83),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-107272,11/6/2014,11/13/2014,Isha Mehta,United States,Phoenix,Arizona,Tables,Modern Meeting Table,243.99,7,30.5,,"('CA-2014-107272', '2014-11-06', '2014-11-13', 'Isha Mehta', 'United States', 'Phoenix', 'Arizona', 'Tables', 'Modern Meeting Table', 243.99, 7, 30.50),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-125969,11/7/2013,11/11/2013,Michael Roy,United States,Los Angeles,California,Binders,Multi-Purpose Presentation Binder,81.42,2,-9.16,,"('CA-2013-125969', '2013-11-07', '2013-11-11', 'Michael Roy', 'United States', 'Los Angeles', 'California', 'Binders', 'Multi-Purpose Presentation Binder', 81.42, 2, -9.16),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-125969,11/7/2013,11/11/2013,John Kulkarni,United States,Los Angeles,California,Paper,Slim Notebook,238.56,3,26.24,,"('CA-2013-125969', '2013-11-07', '2013-11-11', 'John Kulkarni', 'United States', 'Los Angeles', 'California', 'Paper', 'Slim Notebook', 238.56, 3, 26.24),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145583,10/14/2013,10/20/2013,Emma Deshmukh,United States,Roseville,California,Envelopes,Adjustable Catalog Envelope,20.04,3,9.62,,"('CA-2013-145583', '2013-10-14', '2013-10-20', 'Emma Deshmukh', 'United States', 'Roseville', 'California', 'Envelopes', 'Adjustable Catalog Envelope', 20.04, 3, 9.62),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145583,10/14/2013,10/20/2013,John Roy,United States,Roseville,California,Fasteners,Adjustable Thumb Tacks,35.44,1,16.66,,"('CA-2013-145583', '2013-10-14', '2013-10-20', 'John Roy', 'United States', 'Roseville', 'California', 'Fasteners', 'Adjustable Thumb Tacks', 35.44, 1, 16.66),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145583,10/14/2013,10/20/2013,Sai Kulkarni,United States,Roseville,California,Paper,Steel Writing Pad,11.52,4,3.46,,"('CA-2013-145583', '2013-10-14', '2013-10-20', 'Sai Kulkarni', 'United States', 'Roseville', 'California', 'Paper', 'Steel Writing Pad', 11.52, 4, 3.46),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145583,10/14/2013,10/20/2013,Michael Joshi,United States,Roseville,California,Appliances,Compact Air Purifier,4.02,2,1.97,,"('CA-2013-145583', '2013-10-14', '2013-10-20', 'Michael Joshi', 'United States', 'Roseville', 'California', 'Appliances', 'Compact Air Purifier', 4.02, 2, 1.97),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145583,10/14/2013,10/20/2013,Sophia Das,United States,Roseville,California,Bookcases,Deluxe 5-Shelf Bookcase,76.18,3,26.66,,"('CA-2013-145583', '2013-10-14', '2013-10-20', 'Sophia Das', 'United States', 'Roseville', 'California', 'Bookcases', 'Deluxe 5-Shelf Bookcase', 76.18, 3, 26.66),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145583,10/14/2013,10/20/2013,Emma Nair,United States,Roseville,California,Envelopes,Adjustable Catalog Envelope,65.88,6,18.45,,"('CA-2013-145583', '2013-10-14', '2013-10-20', 'Emma Nair', 'United States', 'Roseville', 'California', 'Envelopes', 'Adjustable Catalog Envelope', 65.88, 6, 18.45),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145583,10/14/2013,10/20/2013,Riya Miller,United States,Roseville,California,Phones,Professional Desk Phone,43.12,14,20.7,,"('CA-2013-145583', '2013-10-14', '2013-10-20', 'Riya Miller', 'United States', 'Roseville', 'California', 'Phones', 'Professional Desk Phone', 43.12, 14, 20.70),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-106180,9/19/2014,9/24/2014,Pooja Singh,United States,San Francisco,California,Phones,Adjustable Power Bank,8.82,3,2.38,,"('CA-2014-106180', '2014-09-19', '2014-09-24', 'Pooja Singh', 'United States', 'San Francisco', 'California', 'Phones', 'Adjustable Power Bank', 8.82, 3, 2.38),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-106180,9/19/2014,9/24/2014,Kavya Reddy,United States,San Francisco,California,Paper,Premium Notebook,10.86,3,5.1,,"('CA-2014-106180', '2014-09-19', '2014-09-24', 'Kavya Reddy', 'United States', 'San Francisco', 'California', 'Paper', 'Premium Notebook', 10.86, 3, 5.10),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-106180,9/19/2014,9/24/2014,Daniel Smith,United States,San Francisco,California,Fasteners,Modern Rubber Bands,143.7,3,68.98,,"('CA-2014-106180', '2014-09-19', '2014-09-24', 'Daniel Smith', 'United States', 'San Francisco', 'California', 'Fasteners', 'Modern Rubber Bands', 143.70, 3, 68.98),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-110744,9/7/2012,9/12/2012,Riya Brown,United States,Pasadena,California,Phones,Budget Headset,671.93,7,20.16,,"('CA-2012-110744', '2012-09-07', '2012-09-12', 'Riya Brown', 'United States', 'Pasadena', 'California', 'Phones', 'Budget Headset', 671.93, 7, 20.16),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-158834,3/14/2013,3/17/2013,Priya Gupta,United States,Scottsdale,Arizona,Paper,Multi-Purpose Notebook,157.92,5,17.77,,"('CA-2013-158834', '2013-03-14', '2013-03-17', 'Priya Gupta', 'United States', 'Scottsdale', 'Arizona', 'Paper', 'Multi-Purpose Notebook', 157.92, 5, 17.77),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-158834,3/14/2013,3/17/2013,Pooja Gupta,United States,Scottsdale,Arizona,Tables,Wireless Coffee Table,203.18,2,15.24,,"('CA-2013-158834', '2013-03-14', '2013-03-17', 'Pooja Gupta', 'United States', 'Scottsdale', 'Arizona', 'Tables', 'Wireless Coffee Table', 203.18, 2, 15.24),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-124919,5/31/2012,6/2/2012,Kavya Shah,United States,San Jose,California,Accessories,Steel Laptop Stand,58.38,7,26.27,,"('CA-2012-124919', '2012-05-31', '2012-06-02', 'Kavya Shah', 'United States', 'San Jose', 'California', 'Accessories', 'Steel Laptop Stand', 58.38, 7, 26.27),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-124919,5/31/2012,6/2/2012,Rahul Gupta,United States,San Jose,California,Envelopes,Compact Window Envelope,105.52,4,48.54,,"('CA-2012-124919', '2012-05-31', '2012-06-02', 'Rahul Gupta', 'United States', 'San Jose', 'California', 'Envelopes', 'Compact Window Envelope', 105.52, 4, 48.54),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-124919,5/31/2012,6/2/2012,Sneha Smith,United States,San Jose,California,Accessories,Portable Pen Holder,80.88,6,21.03,,"('CA-2012-124919', '2012-05-31', '2012-06-02', 'Sneha Smith', 'United States', 'San Jose', 'California', 'Accessories', 'Portable Pen Holder', 80.88, 6, 21.03),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-118948,5/28/2012,6/3/2012,Sophia Sharma,United States,Seattle,Washington,Art,Smart Paint Brush Kit,6.63,3,1.79,,"('CA-2012-118948', '2012-05-28', '2012-06-03', 'Sophia Sharma', 'United States', 'Seattle', 'Washington', 'Art', 'Smart Paint Brush Kit', 6.63, 3, 1.79),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-104269,3/1/2011,3/6/2011,Daniel Davis,United States,Seattle,Washington,Binders,Executive Ring Binder,457.57,2,51.48,,"('CA-2011-104269', '2011-03-01', '2011-03-06', 'Daniel Davis', 'United States', 'Seattle', 'Washington', 'Binders', 'Executive Ring Binder', 457.57, 2, 51.48),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-162733,5/12/2013,5/13/2013,Olivia Deshmukh,United States,Los Angeles,California,Binders,Wireless Lever Arch File,5.98,1,2.69,,"('CA-2013-162733', '2013-05-12', '2013-05-13', 'Olivia Deshmukh', 'United States', 'Los Angeles', 'California', 'Binders', 'Wireless Lever Arch File', 5.98, 1, 2.69),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-154508,11/17/2013,11/21/2013,John Davis,United States,Carlsbad,New Mexico,Paper,Eco Graph Paper,28.4,5,13.35,,"('CA-2013-154508', '2013-11-17', '2013-11-21', 'John Davis', 'United States', 'Carlsbad', 'New Mexico', 'Paper', 'Eco Graph Paper', 28.40, 5, 13.35),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-113817,11/8/2013,11/12/2013,David Brown,United States,Seattle,Washington,Tables,Steel Coffee Table,27.68,2,9.69,,"('CA-2013-113817', '2013-11-08', '2013-11-12', 'David Brown', 'United States', 'Seattle', 'Washington', 'Tables', 'Steel Coffee Table', 27.68, 2, 9.69),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-118962,8/5/2011,8/9/2011,Aditya Miller,United States,Los Angeles,California,Machines,Executive Label Maker,20.94,3,9.84,,"('CA-2011-118962', '2011-08-05', '2011-08-09', 'Aditya Miller', 'United States', 'Los Angeles', 'California', 'Machines', 'Executive Label Maker', 20.94, 3, 9.84),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-118962,8/5/2011,8/9/2011,Aditya Kulkarni,United States,Los Angeles,California,Accessories,Portable Desk Organizer,110.96,2,53.26,,"('CA-2011-118962', '2011-08-05', '2011-08-09', 'Aditya Kulkarni', 'United States', 'Los Angeles', 'California', 'Accessories', 'Portable Desk Organizer', 110.96, 2, 53.26),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-118962,8/5/2011,8/9/2011,Pooja Singh,United States,Los Angeles,California,Tables,Ergonomic Side Table,340.14,7,21.26,,"('CA-2011-118962', '2011-08-05', '2011-08-09', 'Pooja Singh', 'United States', 'Los Angeles', 'California', 'Tables', 'Ergonomic Side Table', 340.14, 7, 21.26),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-123260,8/26/2011,8/30/2011,Arjun Nair,United States,Los Angeles,California,Copiers,Smart Compact Copier,176.8,8,22.98,,"('CA-2011-123260', '2011-08-26', '2011-08-30', 'Arjun Nair', 'United States', 'Los Angeles', 'California', 'Copiers', 'Smart Compact Copier', 176.80, 8, 22.98),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-131457,10/31/2012,11/6/2012,Sophia Reddy,United States,Redlands,California,Supplies,Heavy-Duty Glue Stick,14.28,7,6.71,,"('CA-2012-131457', '2012-10-31', '2012-11-06', 'Sophia Reddy', 'United States', 'Redlands', 'California', 'Supplies', 'Heavy-Duty Glue Stick', 14.28, 7, 6.71),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-133690,8/3/2011,8/5/2011,Rahul Deshmukh,United States,Denver,Colorado,Paper,Classic Sticky Notes,218.75,2,-161.88,,"('CA-2011-133690', '2011-08-03', '2011-08-05', 'Rahul Deshmukh', 'United States', 'Denver', 'Colorado', 'Paper', 'Classic Sticky Notes', 218.75, 2, -161.88),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-133690,8/3/2011,8/5/2011,David Singh,United States,Denver,Colorado,Envelopes,Slim Bubble Mailer,2.6,1,0.29,,"('CA-2011-133690', '2011-08-03', '2011-08-05', 'David Singh', 'United States', 'Denver', 'Colorado', 'Envelopes', 'Slim Bubble Mailer', 2.60, 1, 0.29),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-108329,12/10/2014,12/15/2014,Arjun Brown,United States,Whittier,California,Bookcases,Steel Corner Bookcase,444.77,4,44.48,,"('CA-2014-108329', '2014-12-10', '2014-12-15', 'Arjun Brown', 'United States', 'Whittier', 'California', 'Bookcases', 'Steel Corner Bookcase', 444.77, 4, 44.48),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-130162,10/29/2013,11/2/2013,Aditya Kulkarni,United States,Los Angeles,California,Paper,Professional Graph Paper,93.06,6,26.06,,"('CA-2013-130162', '2013-10-29', '2013-11-02', 'Aditya Kulkarni', 'United States', 'Los Angeles', 'California', 'Paper', 'Professional Graph Paper', 93.06, 6, 26.06),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-130162,10/29/2013,11/2/2013,Ananya Sharma,United States,Los Angeles,California,Chairs,Classic Stool,302.38,3,22.68,,"('CA-2013-130162', '2013-10-29', '2013-11-02', 'Ananya Sharma', 'United States', 'Los Angeles', 'California', 'Chairs', 'Classic Stool', 302.38, 3, 22.68),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-160514,11/13/2014,11/17/2014,John Das,United States,Santa Clara,California,Machines,Modern Scanner,10.56,2,4.75,,"('CA-2014-160514', '2014-11-13', '2014-11-17', 'John Das', 'United States', 'Santa Clara', 'California', 'Machines', 'Modern Scanner', 10.56, 2, 4.75),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-154739,12/11/2013,12/16/2013,Ananya Joshi,United States,San Francisco,California,Tables,Adjustable Office Table,321.57,2,28.14,,"('CA-2013-154739', '2013-12-11', '2013-12-16', 'Ananya Joshi', 'United States', 'San Francisco', 'California', 'Tables', 'Adjustable Office Table', 321.57, 2, 28.14),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145625,9/12/2013,9/18/2013,Sophia Gupta,United States,San Diego,California,Paper,Classic Writing Pad,7.61,1,3.58,,"('CA-2013-145625', '2013-09-12', '2013-09-18', 'Sophia Gupta', 'United States', 'San Diego', 'California', 'Paper', 'Classic Writing Pad', 7.61, 1, 3.58),",,,,,,,,,,,,,,,,,,,,,,
CA-2013-145625,9/12/2013,9/18/2013,Neha Davis,United States,San Diego,California,Storage,Adjustable Plastic Crate,3347.37,13,636,,"('CA-2013-145625', '2013-09-12', '2013-09-18', 'Neha Davis', 'United States', 'San Diego', 'California', 'Storage', 'Adjustable Plastic Crate', 3347.37, 13, 636.00),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-155040,11/10/2012,11/15/2012,Sneha Brown,United States,Brentwood,California,Envelopes,Adjustable Document Envelope,79.9,2,35.16,,"('CA-2012-155040', '2012-11-10', '2012-11-15', 'Sneha Brown', 'United States', 'Brentwood', 'California', 'Envelopes', 'Adjustable Document Envelope', 79.90, 2, 35.16),",,,,,,,,,,,,,,,,,,,,,,
CA-2014-163979,12/29/2014,1/3/2015,Rohan Kulkarni,United States,San Francisco,California,Art,Portable Acrylic Paint Set,725.84,4,210.49,,"('CA-2014-163979', '2014-12-29', '2015-01-03', 'Rohan Kulkarni', 'United States', 'San Francisco', 'California', 'Art', 'Portable Acrylic Paint Set', 725.84, 4, 210.49),",,,,,,,,,,,,,,,,,,,,,,
CA-2012-155334,7/30/2012,7/31/2012,Sneha Smith,United States,San Francisco,California,Accessories,Modern Desk Organizer,209.93,7,92.37,,"('CA-2012-155334', '2012-07-30', '2012-07-31', 'Sneha Smith', 'United States', 'San Francisco', 'California', 'Accessories', 'Modern Desk Organizer', 209.93, 7, 92.37),",,,,,,,,,,,,,,,,,,,,,,
